"","Region","Price","Year","Manufacturer","Model","Condition","Cylinders","Fuel","Odometer","Transmission","Drive","Size","Type","Paint_color","State","Lat","Long","JDM"
"4122","Chico",8995,2016,"Chevrolet","Cruze","Excellent","4 cylinders","Gas",56248,"Automatic","FWD","Compact","Sedan","Red","CA",38.6119,-121.424,"Non-JDM"
"4123","Madison",7488,2013,"Honda","Civic","Excellent",NA,"Gas",186094,"Automatic","FWD",NA,NA,NA,"WI",43.0137,-88.808,"JDM"
"4124","Washington, Dc",15995,2014,"Ford","E350 Extended",NA,NA,"Gas",157000,"Automatic",NA,NA,NA,NA,"DC",38.7707,-77.4494,"Non-JDM"
"4125","New Orleans",4795,2004,"Honda","Odyssey Ex",NA,"6 cylinders","Gas",165433,"Automatic","FWD",NA,"Mini-Van",NA,"LA",29.9937,-90.1817,"JDM"
"4126","Washington, Dc",7500,2006,"Toyota","Rav4 Le","Good","4 cylinders","Gas",122415,"Automatic",NA,NA,NA,"Silver","DC",38.8502,-77.1448,"JDM"
"4127","Greenville / Upstate",3500,2007,"Nissan","Altima 2.5","Good","4 cylinders","Gas",127000,"Automatic","FWD",NA,"Sedan","Blue","SC",34.4373,-82.6251,"JDM"
"4128","Flint",27500,2017,"Buick","Enclave",NA,NA,"Gas",36434,"Automatic",NA,NA,"Suv","Red","MI",43.0595,-83.8171,"Non-JDM"
"4129","Huntsville / Decatur",43143,2018,"GMC","Yukon Xl",NA,"8 cylinders","Gas",51612,"Automatic","4WD",NA,"Suv","Red","AL",34.7378,-86.6509,"Non-JDM"
"4130","Charlotte",14590,2017,"Chevrolet","Cruze Lt Sedan 4d","Good",NA,"Gas",30705,"Other","FWD",NA,"Sedan","Blue","NC",35.19,-80.83,"Non-JDM"
"4131","Albuquerque",19377,2015,"Chevrolet","Camaro",NA,"6 cylinders","Gas",90525,"Automatic","RWD",NA,"Other","Black","NM",35.1104,-106.578,"Non-JDM"
"4132","Sacramento",13500,2018,"Chevrolet","Malibu",NA,NA,"Gas",48072,"Automatic","FWD",NA,"Sedan","Silver","CA",38.4056,-121.392,"Non-JDM"
"4133","Fresno / Madera",36998,2013,"Jeep","Rubicon 15k Of Upgrade","Excellent","6 cylinders","Gas",30949,"Automatic","4WD",NA,"Suv",NA,"CA",35.2834,-120.658,"Non-JDM"
"4134","Baltimore",14495,2014,"Audi","Q5",NA,"4 cylinders","Gas",107512,"Automatic","4WD","Mid-Size","Suv","Blue","MD",39.4924,-76.6744,"Non-JDM"
"4135","Corpus Christi",17631,2017,"Buick","Encore",NA,"4 cylinders","Gas",14815,"Automatic","FWD","Compact","Suv","White","TX",27.7036,-97.345,"Non-JDM"
"4136","Redding",38995,2017,"Chevrolet","Tahoe","Excellent",NA,"Gas",81507,"Automatic",NA,NA,NA,"Grey","CA",39.7483,-122.198,"Non-JDM"
